state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
WA,53,Washington,53007,Chelan County,77036,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B-,3.7,-0.3420894100418822,D,2,-0.6768095806508424,B,4,-0.97502635333432242,A,5
WA,53,Washington,53007,Chelan County,77036,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C+,3.3,-0.36815629829314511,D,2,-0.64246566073482647,C,3,-0.97328743946533069,A,5
WA,53,Washington,53051,Pend Oreille County,13602,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.5,-0.26199829637325428,D,2,,,,-0.9957227479552051,A,5
WA,53,Washington,53009,Clallam County,76737,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C-,2.7,-0.2809708574839091,D,2,-0.468602986295766,F,1,-0.96804476020994923,A,5
WA,53,Washington,53063,Spokane County,514631,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.37554431261923282,D,2,-0.63309339463704217,C,3,-0.60124615965246808,D,2
WA,53,Washington,53011,Clark County,481857,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.35317968944365685,D,2,-0.67469500089000867,B,4,0.16058595295520828,F,1
WA,53,Washington,53037,Kittitas County,47364,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.7,-0.11930946000175487,F,1,-0.70672722624114537,A,5,-0.97955044860581431,A,5
WA,53,Washington,53069,Wahkiakum County,4426,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.18812794344792735,F,1,,,,-0.99258846876627793,A,5
WA,53,Washington,53013,Columbia County,4059,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.19824414844554517,F,1,,,,-0.99914814121802087,A,5
WA,53,Washington,53043,Lincoln County,10740,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.0096640328320572958,F,1,,,,-0.99850423554954049,A,5
WA,53,Washington,53073,Whatcom County,225685,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.7,-0.38600676970886694,D,2,-0.703668703988782,A,5,-0.93774351099002939,B,4
WA,53,Washington,53021,Franklin County,94347,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.26583354741247306,D,2,-0.52013673088875079,F,1,-0.92511157160683877,B,4
WA,53,Washington,53037,Kittitas County,47364,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.0082591798204500761,F,1,-0.67167233440669294,B,4,-0.98240419811963875,A,5
WA,53,Washington,53065,Stevens County,45260,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D+,2.3,-0.14262892922032197,F,1,-0.39384935373644331,F,1,-0.99308927951915082,A,5
WA,53,Washington,53005,Benton County,201877,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D,2,-0.27246800204901983,D,2,-0.53250922556234526,F,1,-0.80548964236614529,C,3
WA,53,Washington,53033,King County,2233163,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.534764482397045,C,3,-0.72306939781113833,A,5,0.010225642985559835,F,1
WA,53,Washington,53071,Walla Walla County,60922,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.39791351099476857,D,2,-0.55917652212001756,D,2,-0.96263579886736728,A,5
WA,53,Washington,53033,King County,2233163,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.53780926916515392,C,3,-0.73707535716553862,A,5,-0.033114083486912804,F,1
WA,53,Washington,53049,Pacific County,22036,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B-,3.5,-0.33500211164360411,D,2,,,,-0.99296952969753838,A,5
WA,53,Washington,53025,Grant County,97331,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D+,2.3,-0.11673347557291468,F,1,-0.48115561141899482,F,1,-0.962448548279351,A,5
WA,53,Washington,53029,Island County,84460,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C-,2.7,-0.43441241906360278,C,3,-0.55642333439591962,D,2,-0.77102649530870482,C,3
WA,53,Washington,53043,Lincoln County,10740,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.052314484005380829,F,1,,,,-0.99803888660939744,A,5
WA,53,Washington,53055,San Juan County,17128,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,A-,4.5,-0.56704883267925932,B,4,,,,-0.98705903837297859,A,5
WA,53,Washington,53065,Stevens County,45260,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.31636862806659971,D,2,-0.38428647781934794,F,1,-0.99293859978616894,A,5
WA,53,Washington,53063,Spokane County,514631,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D+,2.3,-0.36814894614545862,D,2,-0.613971427741081,C,3,-0.57700385178946634,D,2
WA,53,Washington,53073,Whatcom County,225685,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B,4,-0.40522451226900763,C,3,-0.70271022902601854,A,5,-0.93821118503013123,B,4
WA,53,Washington,53077,Yakima County,251446,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.242356061485336,F,1,-0.63499573867810855,C,3,-0.9619094678053639,A,5
WA,53,Washington,53029,Island County,84460,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.43116346800392008,C,3,-0.60014638609332116,C,3,-0.76561412093648773,C,3
WA,53,Washington,53067,Thurston County,286419,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D,2,-0.295313339091776,D,2,-0.62560307139918947,C,3,-0.33559590197258193,F,1
WA,53,Washington,53011,Clark County,481857,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D,2,-0.27662453383536995,D,2,-0.63822766827738953,C,3,0.29898448862280724,F,1
WA,53,Washington,53059,Skamania County,11924,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.1827635041491173,F,1,,,,-0.99804581428094308,A,5
WA,53,Washington,53027,Grays Harbor County,73901,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.7,-0.35405921030072834,D,2,-0.678296314782464,B,4,-0.94627730727050052,A,5
WA,53,Washington,53047,Okanogan County,42132,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.31350609594673418,D,2,0.27878931189406481,F,1,-0.99763902487747247,A,5
WA,53,Washington,53061,Snohomish County,814901,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D+,2.3,-0.39873573296719972,D,2,-0.62924261222475841,C,3,-0.51419621611613653,D,2
WA,53,Washington,53071,Walla Walla County,60922,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.32924754601541967,D,2,-0.60795228628230613,C,3,-0.96552478349102444,A,5
WA,53,Washington,53049,Pacific County,22036,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.5,-0.35457636124936959,D,2,,,,-0.99208061965929606,A,5
WA,53,Washington,53045,Mason County,65507,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D,2,-0.24668614914823803,F,1,-0.47912021082505574,F,1,-0.9386854593083146,B,4
WA,53,Washington,53055,San Juan County,17128,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B,4,-0.47389687486509741,C,3,,,,-0.98466256399760432,A,5
WA,53,Washington,53003,Asotin County,22610,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.23007403339149618,F,1,-0.65580693815987934,B,4,-0.94678403579747483,A,5
WA,53,Washington,53035,Kitsap County,269805,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.46192004729097652,C,3,-0.6954208756048712,B,4,-0.38271259574247962,F,1
WA,53,Washington,53031,Jefferson County,31729,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B,4,-0.4675107095915354,C,3,,,,-0.99563387599033,A,5
WA,53,Washington,53039,Klickitat County,22107,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.046758064238934867,F,1,,,,-0.99813350716184268,A,5
WA,53,Washington,53001,Adams County,19759,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.078503750417863491,F,1,-0.66654584994563248,B,4,-0.995288042678488,A,5
WA,53,Washington,53027,Grays Harbor County,73901,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B,4,-0.29880704723498575,D,2,-0.72770037453183523,A,5,-0.95792383198584408,A,5
WA,53,Washington,53075,Whitman County,49791,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B,4,-0.36792511380828574,D,2,-0.81532542481564607,A,5,-0.99270343301961417,A,5
WA,53,Washington,53015,Cowlitz County,108987,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.32246835186160822,D,2,-0.53401561144839549,F,1,-0.8646737544109111,B,4
WA,53,Washington,53001,Adams County,19759,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C+,3.3,-0.20896940396245942,F,1,-0.66848274723460455,B,4,-0.99298075674045028,A,5
WA,53,Washington,53013,Columbia County,4059,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.025323954456290005,F,1,,,,-0.99831757890559125,A,5
WA,53,Washington,53015,Cowlitz County,108987,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D,2,-0.18323136256915662,F,1,-0.52542968565191239,F,1,-0.8341725871076785,B,4
WA,53,Washington,53057,Skagit County,128206,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B,4,-0.44894324350623427,C,3,-0.71823377997762183,A,5,-0.93095829560083854,B,4
WA,53,Washington,53009,Clallam County,76737,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.32743375871493585,D,2,-0.53206164765816177,F,1,-0.97071352749926532,A,5
WA,53,Washington,53051,Pend Oreille County,13602,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.12472997790623719,F,1,,,,-0.99513462579904577,A,5
WA,53,Washington,53025,Grant County,97331,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.249450822268111,F,1,-0.40366013568727316,F,1,-0.95862197371542623,A,5
WA,53,Washington,53017,Douglas County,42907,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C+,3.3,-0.30419758308505396,D,2,-0.61290322580645162,C,3,-0.97747172183959086,A,5
WA,53,Washington,53019,Ferry County,7649,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B,4,-0.45724585884887381,C,3,,,,-0.9993762127254211,A,5
WA,53,Washington,53005,Benton County,201877,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.29748567455177549,D,2,-0.586934086418074,D,2,-0.80929734920400209,C,3
WA,53,Washington,53067,Thurston County,286419,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.36819590275561637,D,2,-0.65078687248018685,B,4,-0.39966351724611826,F,1
WA,53,Washington,53057,Skagit County,128206,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.29726973481345526,D,2,-0.636561549543781,C,3,-0.9243949639547917,B,4
WA,53,Washington,53077,Yakima County,251446,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.25417785113180935,D,2,-0.59598300891376976,D,2,-0.95994714236442624,A,5
WA,53,Washington,53041,Lewis County,79604,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.25917017341524851,D,2,-0.53852912106014572,F,1,-0.95590531493510056,A,5
WA,53,Washington,53047,Okanogan County,42132,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C-,2.7,-0.35745188918485854,D,2,0.16046213093709885,F,1,-0.99595004724035241,A,5
WA,53,Washington,53035,Kitsap County,269805,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C-,2.7,-0.41317195319234667,C,3,-0.66218488801131181,B,4,-0.29173431974540454,F,1
WA,53,Washington,53061,Snohomish County,814901,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.40143314983598161,C,3,-0.68509720722183176,B,4,-0.529033086748529,D,2
WA,53,Washington,53059,Skamania County,11924,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.16095207506332407,F,1,,,,-0.99698250734557392,A,5
WA,53,Washington,53075,Whitman County,49791,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B-,3.7,-0.089333872867312161,F,1,-0.74891179839633448,A,5,-0.9904615173147564,A,5
WA,53,Washington,53045,Mason County,65507,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D,2,-0.2455676118624196,F,1,-0.49072629571849541,F,1,-0.93743281414162316,B,4
WA,53,Washington,53031,Jefferson County,31729,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.5,-0.35767639468492113,D,2,,,,-0.99583642813510853,A,5
WA,53,Washington,53069,Wahkiakum County,4426,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.073686797765808137,F,1,,,,-0.99690586560145589,A,5
WA,53,Washington,53039,Klickitat County,22107,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.20956484680191054,F,1,,,,-0.99740536984585815,A,5
WA,53,Washington,53053,Pierce County,891299,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D,2,-0.31776837110113137,D,2,-0.6040066462944812,C,3,-0.062008441131012115,F,1
WA,53,Washington,53003,Asotin County,22610,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C-,2.7,-0.37105628606314717,D,2,-0.59508103265738255,D,2,-0.9395448163545842,B,4
WA,53,Washington,53053,Pierce County,891299,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,D+,2.3,-0.36818800283266884,D,2,-0.65602315904476,B,4,-0.17240050982245947,F,1
WA,53,Washington,53019,Ferry County,7649,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.5,-0.25285266473888335,D,2,,,,-0.99930060214668426,A,5
